Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
ACCESS-1f,Identities are deprovisioned within organization-defined time thresholds when no longer required,Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,6
ACCESS-1g,The use of privileged credentials is limited to processes for which they are required,Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,6
ACCESS-1h,"Stronger credentials, multifactor authentication, or single use credentials are required for higher risk access (such as privileged accounts, service accounts, shared accounts, and remote access)",Functional,intersects with,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",N,,,7
ACCESS-1h,"Stronger credentials, multifactor authentication, or single use credentials are required for higher risk access (such as privileged accounts, service accounts, shared accounts, and remote access)",Semantic,intersects with,PR.AC-3,Remote access is managed,N,,,6
ACCESS-1h,"Stronger credentials, multifactor authentication, or single use credentials are required for higher risk access (such as privileged accounts, service accounts, shared accounts, and remote access)",Semantic,equal,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",Y,,,10
ACCESS-1i,"Multifactor authentication is required for all access, where feasible",Semantic,intersects with,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",N,,,8
ACCESS-1j,"Identities are disabled after a defined period of inactivity, where feasible",Semantic,subset of,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",Y,,,5
ACCESS-1j,"Identities are disabled after a defined period of inactivity, where feasible",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,4
ACCESS-2a,"Logical access controls are implemented, at least in an ad hoc manner",Semantic,intersects with,PR.AC-3,Remote access is managed,N,,,7
ACCESS-2a,"Logical access controls are implemented, at least in an ad hoc manner",Semantic,subset of,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Y,,,8
ACCESS-2a,"Logical access controls are implemented, at least in an ad hoc manner",Semantic,intersects with,PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions,N,,,6
ACCESS-2a,"Logical access controls are implemented, at least in an ad hoc manner",Semantic,intersects with,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",N,,,8
ACCESS-2a,"Logical access controls are implemented, at least in an ad hoc manner",Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,6
ACCESS-2b,"Logical access privileges are revoked when no longer needed, at least in an ad hoc manner",Semantic,intersects with,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",N,,,4
ACCESS-2b,"Logical access privileges are revoked when no longer needed, at least in an ad hoc manner",Semantic,intersects with,PR.AC-3,Remote access is managed,N,,,3
ACCESS-2b,"Logical access privileges are revoked when no longer needed, at least in an ad hoc manner",Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,4
ACCESS-2b,"Logical access privileges are revoked when no longer needed, at least in an ad hoc manner",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,5
ACCESS-2c,"Logical access requirements are established and maintained (for example, rules for which types of entities are allowed to access an asset, limits of allowed access, constraints on remote access, authentication parameters)",Semantic,intersects with,PR.AC-3,Remote access is managed,N,,,7
ACCESS-2c,"Logical access requirements are established and maintained (for example, rules for which types of entities are allowed to access an asset, limits of allowed access, constraints on remote access, authentication parameters)",Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,4
ACCESS-2c,"Logical access requirements are established and maintained (for example, rules for which types of entities are allowed to access an asset, limits of allowed access, constraints on remote access, authentication parameters)",Semantic,intersects with,PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions,N,,,4
ACCESS-2c,"Logical access requirements are established and maintained (for example, rules for which types of entities are allowed to access an asset, limits of allowed access, constraints on remote access, authentication parameters)",Semantic,intersects with,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",N,,,8
ACCESS-2c,"Logical access requirements are established and maintained (for example, rules for which types of entities are allowed to access an asset, limits of allowed access, constraints on remote access, authentication parameters)",Semantic,intersects with,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",N,,,4
ACCESS-2d,Logical access requirements incorporate the principle of least privilege,Semantic,subset of,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Y,,,6
ACCESS-2e,Logical access requirements incorporate the principle of separation of duties,Semantic,subset of,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Y,,,9
ACCESS-2f,Logical access requests are reviewed and approved by the asset owner,Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,6
ACCESS-2g,Logical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,PR.AC-3,Remote access is managed,N,,,6
ACCESS-2g,Logical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,3
ACCESS-2g,Logical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Functional,intersects with,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",N,,,4
ACCESS-2g,Logical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,N,,,4
ACCESS-2g,Logical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,N,,,4
ACCESS-2g,Logical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,4
ACCESS-2h,"Logical access privileges are reviewed and updated to ensure conformance with access requirements periodically and according to defined triggers, such as changes to organizational structure, and after any temporary elevation of privileges",Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,6
ACCESS-2i,Anomalous logical access attempts are monitored as indicators of cybersecurity events,Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,7
ACCESS-2i,Anomalous logical access attempts are monitored as indicators of cybersecurity events,Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,N,,,5
ACCESS-2i,Anomalous logical access attempts are monitored as indicators of cybersecurity events,Semantic,intersects with,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,N,,,5
ACCESS-2i,Anomalous logical access attempts are monitored as indicators of cybersecurity events,Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,7
ACCESS-3a,"Physical access controls (such as fences, locks, and signage) are implemented, at least in an ad hoc manner",Semantic,subset of,PR.AC-2,Physical access to assets is managed and protected,Y,,,9
ACCESS-3a,"Physical access controls (such as fences, locks, and signage) are implemented, at least in an ad hoc manner",Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,5
ACCESS-3a,"Physical access controls (such as fences, locks, and signage) are implemented, at least in an ad hoc manner",Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,6
ACCESS-3b,"Physical access privileges are revoked when no longer needed, at least in an ad hoc manner",Semantic,intersects with,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",N,,,4
ACCESS-3b,"Physical access privileges are revoked when no longer needed, at least in an ad hoc manner",Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,6
ACCESS-3b,"Physical access privileges are revoked when no longer needed, at least in an ad hoc manner",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,5
ACCESS-3c,"Physical access logs are maintained, at least in an ad hoc manner",Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,7
ACCESS-3c,"Physical access logs are maintained, at least in an ad hoc manner",Semantic,intersects with,PR.PT-1,"Audit/Log records are determined, documented, implemented, and reviewed in accordance with policy",N,,,3
ACCESS-3d,"Physical access requirements are established and maintained (for example, rules for who is allowed to access an asset, how access is granted, limits of allowed access)",Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,5
ACCESS-3d,"Physical access requirements are established and maintained (for example, rules for who is allowed to access an asset, how access is granted, limits of allowed access)",Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,5
ACCESS-3e,Physical access requirements incorporate the principle of least privilege,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,5
ACCESS-3e,Physical access requirements incorporate the principle of least privilege,Semantic,subset of,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Y,,,5
ACCESS-3f,Physical access requirements incorporate the principle of separation of duties,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,5
ACCESS-3f,Physical access requirements incorporate the principle of separation of duties,Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,8
ACCESS-3f,Physical access requirements incorporate the principle of separation of duties,Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,8
ACCESS-3g,Physical access requests are reviewed and approved by the asset owner,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,5
ACCESS-3g,Physical access requests are reviewed and approved by the asset owner,Semantic,subset of,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Y,,,8
ACCESS-3h,Physical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,6
ACCESS-3h,Physical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,3
ACCESS-3h,Physical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,N,,,7
ACCESS-3h,Physical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,N,,,3
ACCESS-3h,Physical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,N,,,3
ACCESS-3h,Physical access privileges that pose higher risk to the function receive additional scrutiny and monitoring,Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,3
ACCESS-3i,Physical access privileges are reviewed and updated,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,6
ACCESS-3i,Physical access privileges are reviewed and updated,Semantic,subset of,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Y,,,5
ACCESS-3j,Physical access is monitored to identify potential cybersecurity events,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,5
ACCESS-3j,Physical access is monitored to identify potential cybersecurity events,Semantic,subset of,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,Y,,,8
ACCESS-3j,Physical access is monitored to identify potential cybersecurity events,Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,N,,,5
ACCESS-3j,Physical access is monitored to identify potential cybersecurity events,Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,7
ACCESS-4a,"Documented procedures are established, followed, and maintained for activities in the ACCESS domain",,not related to,,,N,,,0
ACCESS-4b,"Adequate resources (people, funding, and tools) are provided to support activities in the ACCESS domain",,not related to,,,N,,,0
ACCESS-4c,Up-to-date policies or other organizational directives define requirements for activities in the ACCESS domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
ACCESS-4c,Up-to-date policies or other organizational directives define requirements for activities in the ACCESS domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
ACCESS-4c,Up-to-date policies or other organizational directives define requirements for activities in the ACCESS domain,Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,6
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Y,ACCESS-4d:G1,,5
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,Y,ACCESS-4d:G1,,4
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,ACCESS-4d:G1,,7
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,ACCESS-4d:G1,,4
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,ACCESS-4d:G1,,7
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,ACCESS-4d:G1,,7
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Functional,intersects with,PR.AT-4,Senior executives understand their roles and responsibilities,Y,ACCESS-4d:G1,,7
ACCESS-4d,"Responsibility, accountability, and authority for the performance of activities in the ACCESS domain are assigned to personnel",Functional,intersects with,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities,Y,ACCESS-4d:G1,,7
ACCESS-4e,Personnel performing activities in the ACCESS domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,5
ACCESS-4f,The effectiveness of activities in the ACCESS domain is evaluated and tracked,Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
SITUATION-1a,"Logging is occurring for assets that are important to the delivery of the function, at least in an ad hoc manner",Semantic,subset of,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",Y,,,9
SITUATION-1a,"Logging is occurring for assets that are important to the delivery of the function, at least in an ad hoc manner",Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,8
SITUATION-1b,"Logging is occurring for assets within the function that may be leveraged to achieve a threat objective, wherever feasible",Semantic,subset of,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",Y,,,9
SITUATION-1c,Logging requirements are established and maintained for IT and OT assets that are important to the delivery of the function and assets within the function that may be leveraged to achieve a threat objective,Semantic,subset of,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",Y,,,9
SITUATION-1d,"Logging requirements are established and maintained for network and host monitoring infrastructure (for example, web gateways, endpoint detection and response software, intrusion detection and prevention systems)",Semantic,subset of,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",Y ,,,8
SITUATION-1e,Log data are being aggregated within the function,Semantic,equal,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,Y,,,10
SITUATION-1f,More rigorous logging is performed for higher priority assets,Semantic,intersects with,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",N,,,6
SITUATION-2a,"Periodic reviews of log data or other cybersecurity monitoring activities are performed, at least in an ad hoc manner",Semantic,intersects with,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",N,,,7
SITUATION-2a,"Periodic reviews of log data or other cybersecurity monitoring activities are performed, at least in an ad hoc manner",Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,8
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",N,,,4
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,N,,,4
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,Y,SITUATION-2b:G1,,7
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,Y,SITUATION-2b:G1,,7
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,Y,SITUATION-2b:G1,,7
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Functional,intersects with,DE.CM-4,Malicious code is detected,Y,SITUATION-2b:G1,,7
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Functional,intersects with,DE.CM-5,Unauthorized mobile code is detected,Y,SITUATION-2b:G1,,7
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,RS.AN-1,Notifications from detection systems are investigated,N,,,9
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,Y,SITUATION-2b:G1,,7
SITUATION-2b,"Data and alerts from network and host monitoring infrastructure assets are periodically reviewed, at least in an ad hoc manner",Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",Y,SITUATION-2b:G1,,7
SITUATION-2c,Monitoring and analysis requirements are established and maintained for the function and address timely review of event data,Semantic,intersects with,DE.DP-1,Roles and responsibilities for detection are well defined to ensure accountability,Y,SITUATION-2c:G1,,8
SITUATION-2c,Monitoring and analysis requirements are established and maintained for the function and address timely review of event data,Semantic,intersects with,DE.DP-2,Detection activities comply with all applicable requirements,Y,SITUATION-2c:G1,,8
SITUATION-2c,Monitoring and analysis requirements are established and maintained for the function and address timely review of event data,Functional,intersects with,DE.DP-3,Detection processes are tested,Y,SITUATION-2c:G1,,6
SITUATION-2c,Monitoring and analysis requirements are established and maintained for the function and address timely review of event data,Functional,intersects with,DE.DP-5,Detection processes are continuously improved,Y,SITUATION-2c:G1,,6
SITUATION-2d,"Indicators of anomalous activity are established and maintained based on system logs, data flows, network baselines, cybersecurity events, and architecture and are monitored across the IT and OT environments",,not related to,,,N,,,0
SITUATION-2e,Alarms and alerts are configured and maintained to support the identification of cybersecurity events,,not related to,,,N,,,0
SITUATION-2f,Monitoring activities are aligned with the threat profile (THREAT-2e),,not related to,,,N,,,0
SITUATION-2g,More rigorous monitoring is performed for higher priority assets,Functional,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,7
SITUATION-2g,More rigorous monitoring is performed for higher priority assets,Semantic,intersects with,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,N,,,4
SITUATION-2g,More rigorous monitoring is performed for higher priority assets,Semantic,intersects with,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,N,,,5
SITUATION-2g,More rigorous monitoring is performed for higher priority assets,Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,5
SITUATION-2h,Risk analysis information (RISK-3d) is used to identify indicators of anomalous activity,,not related to,,,N,,,0
SITUATION-2i,"Indicators of anomalous activity are evaluated and updated periodically and according to defined triggers, such as system changes and external events",Functional,intersects with,DE.AE-1,A baseline of network operations and expected data flows for users and systems is established and managed,N,,,4
SITUATION-2i,"Indicators of anomalous activity are evaluated and updated periodically and according to defined triggers, such as system changes and external events",Semantic,intersects with,DE.DP-3,Detection processes are tested,N,,,7
SITUATION-3a,Methods of communicating the current state of cybersecurity for the function are established and maintained,Semantic,intersects with,RS.CO-3,Information is shared consistent with response plans,N,,,4
SITUATION-3b,Monitoring data are aggregated to provide an understanding of the operational state of the function,Semantic,intersects with,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,N,,,5
SITUATION-3c,Relevant information from across the organization is available to enhance situational awareness,Semantic,intersects with,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,N,,,5
SITUATION-3c,Relevant information from across the organization is available to enhance situational awareness,Semantic,intersects with,RS.CO-3,Information is shared consistent with response plans,N,,,5
SITUATION-3c,Relevant information from across the organization is available to enhance situational awareness,Semantic,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,N,,,5
SITUATION-3d,Situational awareness reporting requirements have been defined and address timely dissemination of cybersecurity information to organization-defined stakeholders,Semantic,intersects with,DE.AE-5,Incident alert thresholds are established,N,,,6
SITUATION-3d,Situational awareness reporting requirements have been defined and address timely dissemination of cybersecurity information to organization-defined stakeholders,Semantic,intersects with,DE.DP-4,Event detection information is communicated,N,,,7
SITUATION-3d,Situational awareness reporting requirements have been defined and address timely dissemination of cybersecurity information to organization-defined stakeholders,Semantic,intersects with,RS.CO-2,Incidents are reported consistent with established criteria,N,,,7
SITUATION-3d,Situational awareness reporting requirements have been defined and address timely dissemination of cybersecurity information to organization-defined stakeholders,Semantic,intersects with,RS.CO-3,Information is shared consistent with response plans,N,,,7
SITUATION-3d,Situational awareness reporting requirements have been defined and address timely dissemination of cybersecurity information to organization-defined stakeholders,Semantic,intersects with,RS.CO-4,Coordination with stakeholders occurs consistent with response plans,N,,,5
SITUATION-3d,Situational awareness reporting requirements have been defined and address timely dissemination of cybersecurity information to organization-defined stakeholders,Semantic,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,N,,,7
SITUATION-3d,Situational awareness reporting requirements have been defined and address timely dissemination of cybersecurity information to organization-defined stakeholders,Semantic,intersects with,RC.CO-3,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,N,,,6
SITUATION-3e,Relevant information from outside the organization is collected and made available across the organization to enhance situational awareness,Semantic,superset of,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,9
SITUATION-3e,Relevant information from outside the organization is collected and made available across the organization to enhance situational awareness,Semantic,intersects with,ID.RA-3,"Threats, both internal and external, are identified and documented",N,,,5
SITUATION-3e,Relevant information from outside the organization is collected and made available across the organization to enhance situational awareness,Semantic,intersects with,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness,N,,,5
SITUATION-3e,Relevant information from outside the organization is collected and made available across the organization to enhance situational awareness,Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,7
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,N,,,7
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Functional,intersects with,ID.RA-3,"Threats, both internal and external, are identified and documented",N,,,7
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Functional,intersects with,DE.CM-4,Malicious code is detected,N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Functional,intersects with,DE.CM-5,Unauthorized mobile code is detected,N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,5
SITUATION-3f,"A capability is established and maintained to aggregate, correlate, and analyze the outputs of cybersecurity monitoring activities and provide a near-real-time understanding of the cybersecurity state of the function",Semantic,intersects with,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",N,,,7
SITUATION-3g,Predefined states of operation are documented and can be implemented based on the cybersecurity state of the function or when triggered by activities in other domains,Semantic,intersects with,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",N,,,4
SITUATION-3g,Predefined states of operation are documented and can be implemented based on the cybersecurity state of the function or when triggered by activities in other domains,Functional,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),N,,,4
SITUATION-3g,Predefined states of operation are documented and can be implemented based on the cybersecurity state of the function or when triggered by activities in other domains,Functional,intersects with,PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",N,,,5
SITUATION-4a,"Documented procedures are established, followed, and maintained for activities in the SITUATION domain",,not related to,,,N,,,0
SITUATION-4b,"Adequate resources (people, funding, and tools) are provided to support activities in the SITUATION domain",,not related to,,,N,,,0
SITUATION-4c,Up-to-date policies or other organizational directives define requirements for activities in the SITUATION domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
